hotel_id,hotel_name,n_comment,rank_in_country,url
118,b'\n\nI Love NY Pizza\n\n',52,b'\n#28 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420136-Reviews-I_Love_NY_Pizza-Troy_New_York.html
119,b'\n\nFamous Lunch\n\n',41,b'\n#29 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d822249-Reviews-Famous_Lunch-Troy_New_York.html
120,b'\n\nRyans Wake\n\n',22,b'\n#30 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d3677802-Reviews-Ryans_Wake-Troy_New_York.html
121,b'\n\nJuniors Bar and Grill\n\n',29,b'\n#31 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d11920208-Reviews-Juniors_Bar_and_Grill-Troy_New_York.html
122,b'\n\nDeli & Brew\n\n',25,b'\n#32 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420684-Reviews-Deli_Brew-Troy_New_York.html
123,"b""\n\nTed's Fish Fry Incorporated\n\n""",29,b'\n#33 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420265-Reviews-Ted_s_Fish_Fry_Incorporated-Troy_New_York.html
124,b'\n\nDaily Grind\n\n',28,b'\n#34 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d824815-Reviews-Daily_Grind-Troy_New_York.html
125,b'\n\nPlumb Oyster Bar\n\n',30,b'\n#35 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d11983358-Reviews-Plumb_Oyster_Bar-Troy_New_York.html
126,b'\n\nThe Hill at Muza\n\n',13,b'\n#36 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d10632898-Reviews-The_Hill_at_Muza-Troy_New_York.html
127,b'\n\nBacchus\n\n',43,b'\n#37 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d4796989-Reviews-Bacchus-Troy_New_York.html
128,"b""\n\nCarol's Place For Pizza & Subs\n\n""",23,b'\n#38 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d818404-Reviews-Carol_s_Place_For_Pizza_Subs-Troy_New_York.html
129,b'\n\nRed Front Restaurant & Tavern\n\n',61,b'\n#39 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d420718-Reviews-Red_Front_Restaurant_Tavern-Troy_New_York.html
130,"b""\n\nCarmen's Cafe\n\n""",25,b'\n#40 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d835113-Reviews-Carmen_s_Cafe-Troy_New_York.html
131,b'\n\nRare Form Brewing Company\n\n',20,b'\n#41 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d7179338-Reviews-Rare_Form_Brewing_Company-Troy_New_York.html
132,b'\n\nLittle Pecks\n\n',10,b'\n#42 of 169 Restaurants in Troy\n',https://www.tripadvisor.com/Restaurant_Review-g48739-d10626572-Reviews-Little_Pecks-Troy_New_York.html
